CARRIER,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE,DEP_DEL15
VX,SFO,SAN,717,837,447,0
WN,FLL,BNA,1553,1704,793,0
WN,MSP,MDW,1856,2016,349,0
WN,PIT,MCO,1709,1927,834,0
WN,DAL,MEM,2053,2214,423,0
WN,SLC,LAS,1415,1433,368,1
WN,LAS,ONT,735,823,197,0
WN,MDW,BWI,1824,2101,611,1
AA,ORD,LAS,1238,1429,1514,1
AA,DFW,ELP,1328,1415,551,0
AA,SLC,MIA,2356,629,2088,0
AS,PDX,SLC,1504,1755,630,0
B6,IAD,JFK,636,800,228,0
DL,JFK,LAX,2216,153,2475,1
DL,AGS,ATL,705,749,143,0
DL,CMH,ATL,951,1124,447,0
DL,ATL,LGA,1859,2106,762,0
DL,OKC,ATL,1833,2125,761,1
EV,JAN,DFW,1203,1347,408,0
EV,BUF,EWR,1616,1741,282,1
EV,ATL,TYS,1556,1647,152,1
EV,ORD,ERI,?,?,398,?
HA,HNL,KOA,1629,1716,163,0
MQ,BRO,DFW,1905,2103,482,1
NK,MSP,MCO,751,1240,1310,0
OO,FAR,SLC,1745,1923,866,0
OO,SLC,BIL,1105,1230,387,0
OO,MKG,ORD,?,?,118,?
OO,SBP,PHX,1228,1412,509,0
UA,DEN,LAX,1528,1700,862,0
UA,IAD,SAN,805,1043,2253,0
OO,DEN,MAF,1407,1653,563,0
US,DCA,MCO,829,1056,759,0
US,JAX,CLT,1351,1506,328,0
WN,ATL,MCO,2111,2234,404,0
WN,CLT,BWI,2002,2133,361,1
WN,FLL,ATL,855,1050,581,0
WN,LAX,MDW,1317,1856,1750,1
WN,MDW,PHX,1452,1702,1444,1
WN,PHL,ATL,759,1023,666,0
WN,SEA,LAS,1603,1818,867,1
WN,TPA,FNT,1957,2225,1036,1
AA,LAS,DFW,612,1059,1055,0
AA,LAX,LAS,1154,1301,236,0
AS,PHL,SEA,1918,2204,2378,1
AA,BWI,DFW,528,753,1217,0
B6,BOS,CLT,1524,1741,728,1
DL,ATL,LAS,1703,1824,1747,1
DL,DTW,IND,1750,?,231,0
DL,MSP,MKE,1317,1429,297,0
DL,BOI,SLC,1836,1935,290,0
DL,ATL,PIT,1359,1532,526,0
EV,SHV,IAH,1726,1836,192,0
EV,IAH,BNA,2035,2216,657,1
EV,ORF,DTW,1111,1253,529,0
F9,TPA,PHL,?,?,920,?
HA,HNL,LIH,2019,2100,102,0
MQ,LGA,GSO,1807,1943,461,1
NK,DTW,RSW,931,1301,1084,0
OO,DTW,GRB,1227,1249,287,1
OO,SLC,FAT,1100,1141,501,0
OO,SFO,BUR,827,935,326,0
UA,SFO,SNA,1906,2034,372,1
UA,IAH,DEN,2008,2128,862,1
UA,SFO,ORD,1103,1711,1846,0
US,CLT,SFO,926,1215,2296,0
US,DCA,TPA,2029,2241,814,1
US,BOS,DCA,1457,1637,399,0
WN,DEN,LAS,2109,2154,628,0
WN,SAN,AUS,722,1154,1164,0
WN,IND,DCA,748,913,500,0
WN,STL,DAL,1837,2012,546,0
WN,MDW,BDL,750,1036,777,0
WN,OMA,LAS,616,713,1099,0
WN,BNA,MCI,1037,1213,491,0
AA,IAD,DFW,529,757,1172,0
AA,DFW,TPA,1325,1636,929,0
AA,SFO,DFW,830,1351,1464,0
AS,LAX,PDX,850,1112,834,0
B6,LAS,JFK,2320,726,2248,0
DL,ATL,PBI,1752,1937,545,0
DL,IND,ATL,1913,2045,432,0
DL,MSY,ATL,1132,1341,425,1
DL,ATL,ORD,956,1043,606,0
EV,DFW,MLU,2014,2120,293,0
EV,ATL,HSV,1235,1218,151,1
EV,EWR,CLT,627,832,529,0
MQ,ORD,DSM,1642,1741,299,0
MQ,LGA,GSO,922,1059,461,0
OO,SAN,LAX,2215,2255,109,1
OO,LGB,SLC,1305,1554,588,0
OO,DEN,PIT,1730,2225,1290,0
UA,DEN,TPA,1000,1505,1506,0
UA,LAX,IAH,1438,1946,1379,0
US,ORD,PHX,?,?,1440,?
US,TPA,CLT,1721,1902,507,0
VX,SEA,LAX,1653,1917,954,0
WN,CMH,DAL,1554,1725,919,0
WN,HOU,LGA,1813,2231,1428,0
WN,MCO,BWI,1909,2213,787,0
WN,ONT,PHX,1256,1402,325,0
WN,SJC,LAS,1427,1547,386,0
AA,DFW,TUS,2142,2154,813,0
AA,BOS,ORD,1750,1937,867,0
AA,ORD,LAX,2135,23,1744,0
AS,PHX,SEA,552,856,1107,0
B6,SAN,BOS,1117,1931,2588,0
AA,DFW,MSP,1041,1249,852,0
DL,DFW,ATL,1715,2029,731,0
DL,FNT,ATL,1743,1952,645,0
DL,BDL,ATL,1520,1757,859,0
EV,DFW,CAE,703,1029,922,0
DL,ATL,HOU,825,935,696,0
EV,CLE,DCA,2057,2205,310,0
EV,SGF,ATL,1815,2055,563,0
EV,ORD,ORF,947,1247,717,0
MQ,ORD,ROC,914,1157,528,1
MQ,ORD,MEM,1026,1155,491,0
NK,DEN,ORD,700,1015,888,1
OO,PHX,SLC,1644,1937,507,0
OO,GTF,SLC,603,729,463,0
OO,SFO,LAS,1550,1713,414,1
UA,DCA,IAH,1401,1653,1208,0
UA,SFO,LIH,904,1131,2447,0
UA,EWR,IAH,537,811,1400,1
US,ORD,CLT,1550,1835,599,0
US,CLT,TPA,930,1104,507,0
WN,BNA,DTW,955,1220,456,0
WN,LAX,PHX,1135,1256,370,0
WN,MSY,HOU,2007,2142,302,0
WN,RNO,LAX,1851,2006,391,0
WN,BUR,DEN,1403,1709,850,0
WN,DEN,ATL,1032,1516,1199,0
WN,MCO,IND,1030,1251,829,0
AA,ORD,SAN,919,1137,1723,1
AA,MSP,ORD,1420,1541,334,0
AA,ATL,ORD,821,1013,606,0
AS,LAX,SEA,1930,2213,954,0
B6,JFK,RSW,606,858,1074,0
B6,JFK,BOS,1903,2029,187,1
DL,DTW,LAX,838,1033,1979,0
DL,MCI,MSP,1511,1624,393,0
DL,MSP,SEA,1456,1633,1399,0
DL,ORD,ATL,627,1004,606,0
DL,ATL,IAD,1630,1804,534,0
EV,TUL,IAH,1650,1827,429,1
EV,LGA,GRR,2144,2339,618,0
EV,ATL,ROA,1452,1604,357,0
F9,IAD,MCO,1715,2126,758,0
MQ,ORD,ALO,2021,2123,234,0
MQ,DFW,MOB,1726,1907,539,1
EV,IAH,SDF,838,1149,788,0
OO,SLC,OMA,1342,1649,840,0
OO,GJT,SLC,650,756,216,0
OO,DEN,ABQ,756,915,349,0
UA,ORD,SEA,1644,1922,1721,1
UA,SEA,SFO,1614,1822,679,0
UA,SMF,DEN,1751,2106,909,0
US,DCA,CLT,1200,1317,331,0
US,CLT,LAX,1925,2108,2125,1
WN,ABQ,DEN,625,741,349,0
WN,DEN,LAX,1957,2110,862,0
WN,LAS,BOI,1401,1641,519,1
WN,BWI,JAX,2053,2233,663,1
WN,SAN,OAK,2132,2250,446,0
WN,STL,PHX,538,658,1262,0
WN,MSP,STL,632,757,448,0
WN,LAS,SDF,1927,214,1624,1
AA,MIA,MSY,2137,2238,675,0
AA,DFW,IAH,944,1055,224,1
AA,DFW,PHL,709,1122,1303,0
B6,LAX,JFK,900,1717,2475,1
B6,AUS,JFK,1236,1707,1521,0
DL,FAR,MSP,454,546,223,0
DL,ATL,GSO,2310,12,306,0
DL,MSP,PHL,1953,2313,980,1
DL,MSP,JFK,701,1027,1029,0
DL,ATL,MEM,809,823,332,0
EV,RDU,EWR,1142,1313,416,0
EV,ATL,FSM,1642,1724,579,1
EV,CHO,ATL,1713,1839,457,0
F9,DEN,LAX,742,859,862,0
MQ,ELP,ORD,1318,1703,1236,0
MQ,ORD,RIC,1131,1423,642,0
EV,PVD,EWR,601,711,160,0
OO,MSP,SBN,1928,2202,411,0
OO,DTW,EVV,1533,1604,363,0
OO,SGU,SLC,1149,1251,272,0
UA,IAH,SFO,1541,1749,1635,0
UA,DEN,CLE,953,1446,1201,0
US,ALB,CLT,1459,1718,646,1
US,IAH,CLT,1003,1334,912,0
US,CLT,BNA,1132,1152,328,0
WN,BNA,DAL,1641,1834,623,1
WN,DAL,FLL,633,1012,1108,0
WN,IND,HOU,645,825,861,0
WN,MCI,PHX,1314,1345,1044,1
WN,SMF,LAS,537,658,397,0
WN,MDW,JAX,1514,1819,849,0
WN,PHL,ATL,755,1005,666,0
AA,LAX,JFK,755,1618,2475,0
AA,MCO,DFW,1922,2107,985,0
AA,DFW,BNA,1459,1641,631,0
AS,SEA,SJC,908,1056,697,0
B6,SEA,JFK,2155,612,2422,0
B6,BOS,RSW,1719,2112,1249,1
DL,CRW,ATL,658,818,363,0
DL,MSP,LGA,1937,2308,1020,1
DL,FLL,LGA,852,1132,1076,0
DL,LAS,MSP,913,1414,1299,0
DL,MSP,ATL,633,1003,907,0
EV,EWR,DTW,635,819,488,0
EV,DTW,BUF,745,849,241,0
EV,CRW,ATL,1132,1300,363,0
HA,SAN,HNL,916,1217,2614,0
MQ,HPN,ORD,1249,1422,738,0
NK,LGA,MYR,1816,2050,563,0
OO,ORD,DLH,1017,1134,397,1
OO,MEM,CVG,1030,1248,403,0
OO,SBN,DTW,616,712,157,0
OO,SLC,CDC,1834,1951,221,1
UA,DCA,IAH,1353,1615,1208,0
UA,DEN,SJC,1911,2035,948,0
UA,LAS,SFO,638,812,414,1
US,CLT,PHL,2255,33,449,0
US,CLT,FLL,1804,2004,632,0
WN,BWI,MCO,2131,2355,787,0
WN,AUS,HOU,1841,1935,148,1
WN,PHL,STL,757,923,814,0
WN,TPA,MSY,1229,1304,488,0
WN,MCI,MCO,522,901,1072,0
WN,MSY,DCA,1930,2242,969,0
WN,DAL,STL,625,803,546,0
WN,HOU,PHX,905,1009,1020,0
AA,DFW,PBI,726,1123,1102,0
AA,MIA,LAS,702,911,2174,0
AS,SEA,BUR,754,1015,937,0
AA,STT,MIA,1446,1804,1107,0
B6,FLL,SJU,1550,1831,1046,1
DL,ATL,MDT,938,1115,620,0
DL,LGA,ATL,759,1035,762,0
DL,ORD,DTW,657,919,235,0
DL,ATL,MEM,1339,1351,332,0
DL,SLC,LAS,2017,2033,368,0
EV,MCI,IAH,1308,1507,643,0
EV,IAH,ELP,1409,1509,667,1
EV,ILM,ATL,1103,1238,377,0
F9,DEN,SAN,1726,1900,853,0
MQ,SGF,DFW,1812,2007,364,1
MQ,MIA,ORF,932,1157,802,0
NK,LAX,ORD,1629,2229,1744,0
OO,FAT,SFO,1511,1600,158,0
