DL,MSP,701,1027,0
MQ,ORD,1116,1222,0
B6,JFK,2237,14,1
MQ,DFW,1027,1110,0
WN,HOU,1248,1400,1
AS,SCC,1726,1824,0
UA,EWR,1456,1753,1
UA,OGG,1427,2239,0
AA,DEN,721,1028,0
WN,HOU,813,902,0
AA,IAD,1552,1807,0
EV,MCI,1308,1507,0
AA,SJU,1714,2001,1
WN,SMF,524,642,0
WN,LAS,750,916,0
VX,SFO,1148,1650,0
AA,MIA,2019,2208,0
DL,MCO,829,1044,0
B6,BOS,742,1036,0
WN,SJC,701,813,0
WN,LAS,1258,1400,0
DL,ATL,1116,1258,0
DL,ATL,1454,1602,0
DL,ATL,1057,1215,0
OO,DEN,1919,2053,1
OO,ORD,601,822,0
MQ,DFW,1823,1929,0
EV,CID,1236,1540,0
B6,ABQ,2337,522,0
EV,CLT,1256,1416,1
DL,ATL,1458,1639,0
WN,AUS,1841,1935,1
FL,IND,626,845,0
WN,BWI,1636,1800,0
NK,ACY,1807,2023,0
OO,DEN,1303,1427,0
DL,ATL,39,128,1
MQ,CVG,649,918,0
YV,RIC,1423,1605,0
EV,ATL,1505,1621,0
EV,IAH,1010,1251,0
MQ,SJT,1248,1337,0
EV,DEN,953,1251,0
US,DFW,1738,2102,0
UA,BOS,543,852,0
MQ,LGA,1248,1355,0
EV,IAH,1451,1620,1
DL,ATL,831,1023,0
US,LGA,629,819,0
EV,CLE,2148,2333,1
WN,BWI,1613,1705,1
UA,FLL,1806,2009,1
WN,MSP,756,1018,0
AA,DFW,1620,2004,1
NK,DTW,2006,2104,1
MQ,TUL,903,1000,0
EV,CRP,1448,1549,1
DL,MSP,1317,1429,0
DL,LGA,757,901,0
DL,SAT,740,1104,0
DL,ATL,1253,1521,0
WN,MCI,759,1000,0
WN,PVD,1014,1134,0
AS,SEA,757,1044,0
WN,STL,1712,2024,0
UA,ORD,1344,1555,0
NK,DFW,559,753,0
MQ,DFW,1947,2049,0
AA,DFW,743,1131,0
US,CLT,926,1215,0
DL,ATL,1031,1205,0
WN,HOU,951,1303,0
OO,SPI,601,702,0
UA,SFO,1116,1448,1
UA,DEN,43,148,1
AA,ORD,2140,46,1
WN,HOU,1010,1415,0
DL,DCA,1633,1922,0
MQ,ORD,1146,1252,0
FL,RIC,1451,1618,0
WN,OMA,1306,1419,0
DL,PDX,1316,1553,0
US,PHX,1111,1220,1
EV,SAT,1102,1252,0
EV,LEX,1938,2042,0
WN,DEN,1702,1739,0
DL,DTW,844,1006,0
MQ,CID,833,937,0
UA,TPA,606,957,0
MQ,DFW,1710,1910,1
MQ,ORD,1925,2153,0
YV,ALB,1911,2123,0
OO,ICT,1510,1655,0
WN,SAN,1721,1929,1
WN,PHX,1820,2244,0
US,STT,1402,1659,1
AS,SLC,701,759,0
UA,MCO,1602,1822,1
WN,SAT,1955,2004,0
EV,IAH,924,1158,1
WN,DAL,928,1057,0
AA,DFW,812,927,0
WN,BDL,707,808,0
UA,SFO,857,1658,0
CO,LAS,2238,534,0
OO,SFO,1530,1642,0
B6,SYR,1126,1242,0
UA,SAN,1804,2133,0
UA,EWR,1858,2041,0
9E,DTW,1732,1814,0
UA,TPA,1403,1642,0
DL,TPA,1042,1206,1
AA,DFW,1147,1354,0
DL,ATL,732,940,0
EV,IAH,1136,1243,1
WN,BNA,1611,1808,1
UA,CLE,2047,2250,0
DL,DTW,1529,1544,0
DL,ATL,1744,1859,0
DL,MCO,1023,1259,0
US,RDU,1129,1243,0
EV,BNA,?,?,?
AS,LAX,759,1030,0
UA,IAD,1732,2002,1
MQ,DFW,2027,2211,0
MQ,ORD,1558,1857,0
